"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
Unfortunately , the eider colony was decimated by avian cholera in the mid-1980s .	eider	They feed on planktonic crustaceans and small fish picked from the surface , typically while hovering .	fish	0
The story is about a 6-year-old boy who tries to return his friend 's penknife , but faces difficulties because his friend has moved to another town .	penknife	Some occurrences in the southern parts of its range are threatened by recreational activities , such as off-road vehicle use .	vehicle	0
It also condemned Ronnie Kasrils for his irresponsible action in leading marchers breaking through the razor wire and provoking the forces into opening fire .	razor	Parasoft C/C + + test is a comprehensive software testing tool that contains functionality to test and find software defects .	tool	1
By May 2004 Takanonami was the only top division wrestler left from the once dominant Futagoyama stable , which had been renamed Takanohana stable a few months earlier .	stable	The building was converted into the YWCA 's offices as well as a preschool .	building	1
Desperate to get back in , he buys heroin to use as an anaesthetic in an attempt to personally remove his new gums with a razorblade .	razorblade	In 1965 , the D1210 truck was added to production , and in 1966 , the Anadol , the first mass-production passenger vehicle developed in Turkey .	vehicle	0
Alongside human inference , one natural threat may be posed by southern crested caracara .	caracara	Order : PasseriformesFamily : Tichodromidae The wallcreeper is a small bird related to the nuthatch family , which has stunning crimson , grey and black plumage .	bird	1
Fantin left with Charpin 's remaining crew aboard a captured brigantine .	brigantine	The first Block IIF space vehicle was launched in May 2010 on a Delta IV rocket .	vehicle	1
At the gun , they are first combined on the rammer tray , and then power rammed into the chamber together with one ram cycle .	rammer	A new text mining tool will provide automatic subject tags , on the fly , for both the database and website search .	tool	1
Zarhipis integripennis Zarhipis integripennis , the western banded glowworm , is a species of glowworm beetle in the family Phengodidae .	glowworm	""" P. labiata "" and "" P. schultzi "" also occasionally jump on an insect ."	insect	1
Together with these and others they were at some time placed in the titmouse family Paridae .	titmouse	"HMS Dove Nine ships of the Royal Navy have been named HMS "" Dove "" after the bird family "" Columbidae "" : See also"	bird	1
The minelayer was not hit .	minelayer	Some otters have developed very specific , individual behaviors that do not necessarily demonstrate tool use , but do demonstrate dexterity .	tool	0
In the spring and summer crested auklet , tufted puffin , and pigeon guillemot nest on the island ; there is also a colony of black-legged kittiwake .	kittiwake	They have an elongated lower mandible which they use to feed by flying low over the water surface and skimming the water for small fish .	fish	0
For example , environmentalists sought to reduce harbor trucking pollution by regulating dray activities .	dray	The grain yield monitor is an excellent tool that provides producers an effective evaluation tool on a field and farm basis .	tool	0
The second was the decision to send the yacht Fri on an epic voyage around the Pacific carrying the peace message to all nuclear weapons states .	yacht	, the electric vehicle network consisted of 11,414 individual Supercharger stalls at 1,375 locations worldwide .	vehicle	1
Juvenile greater scaup look similar to adult females .	scaup	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
The Number One tower soon found an alternative use as a replacement for the Nab Rock lightship , 40 miles away off Bembridge in the Isle of Wight .	lightship	This sum enabled the association to set up a winery and the building is still used today by the Hohenpolding volunteer fire service as a clubhouse .	building	0
Prior to the Second World War , a large abattoir was built under the auspices of the Local Council .	abattoir	Post-Independence in 1948 , vehicle production was shifted to a new green field plant spread over a large area in Uttarpara , West Bengal .	vehicle	0
Harabolviken is also a municipal facility , near to Kohamn , with a floating dock , outhouse and barbecue area with wood .	outhouse	Mulford Building Mulford Building is a historic light manufacturing loft building located in the Spring Garden neighborhood of Philadelphia , Pennsylvania .	building	1
The Merseyrail electric and the Northern Rail diesel services use opposite ends of the same platform at Kirkby .	electric	The first Block IIF space vehicle was launched in May 2010 on a Delta IV rocket .	vehicle	1
"One release included "" Mauvais garçon "" as a B-side and another "" Le barbu sans barbe "" ."	barbu	In their normal gait , only one leg is advanced at a time in the manner adopted by their ancestors , the lobe-finned fish .	fish	1
"The name could be derived by the Jewish "" Ser "" , meaning "" mountains "" , or it could refer to the shape of a handsaw ."	handsaw	In the latter , Segal makes AA ’s traditional twelve-step program accessible to non-addicts as a psycho-behavioural tool for stress-management and peace of mind .	tool	1
The day before the next divine service , Miss Carnaby meets Poirot in a local teashop .	teashop	Mahamadi Ouédraogo , the driver , sustained critical injuries and died in the vehicle .	vehicle	0
Microdevario gatesi Microdevario gatesi is a species of cyprinid found in southeast Asian rivers and streams .	cyprinid	Specific defences are specialised responses to particular pathogens recognised by the fish 's body , that is adaptative immune responses .	fish	1
Predominant crystal faces ( prism - prismatic , pyramid - pyramidal and pinacoid - platy ) .	platy	List of birds of Andorra This is a list of the bird species recorded in Andorra .	bird	0
The next day Chieko finds Sadao at the whorehouse and begs him to come home , but he refuses .	whorehouse	This sum enabled the association to set up a winery and the building is still used today by the Hohenpolding volunteer fire service as a clubhouse .	building	1
The Mattole River is home to three salmonid species listed as threatened under the Federal Endangered Species Act : chinook and coho salmon , and steelhead .	salmonid	By 1993 , the percentage of sand eel was about 70 % , when the total industrial fish catch was 1.2 million tons .	fish	1
The following species also breed : Atlantic puffin , black-legged kittiwake , common tern , herring gull and lesser black-backed gull .	kittiwake	We must solve problems of waste disposal , insect and rodent control , air pollution , housing , radiological poisoning and many others .	insect	0
2 endemic aphid species found on Sri Lanka .	aphid	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
The red phalarope is about in length , with lobed toes and a straight bill , somewhat thicker than that of red-necked phalarope .	phalarope	They feed on small algae and serve as prey for larger organisms in the plankton such as copepods and larval fish .	fish	0
It formerly included the Walden 's hornbill as a subspecies , but unlike that species , both sexes of the writhed hornbill have orange-red throat and peri-ocular skin .	hornbill	The standard for fish for human consumption is less than 1 mg/kg , but many tested samples were more than five times that amount .	fish	0
"This species was formerly treated as a subspecies of the great-winged petrel ( "" Pterodroma macroptera "" ) but has been recognized as a separate species since 2014 ."	petrel	List of birds of Poland This is a list of the bird species recorded in Poland .	bird	1
"Along with the northern fulmar , "" F. glacialis "" , it belongs to the fulmar genus "" Fulmarus "" in the family Procellariidae , the true petrels ."	fulmar	Insect farming Insect farming is the practice of raising , eating , and breeding insects as livestock .	insect	0
The Commonwealth Games opening ceremony at Carrara Stadium last night was as fair dinky Australian as it gets .	dinky	The vehicle , AV-010 , weighed at lift-off , and had earlier been slightly damaged when Hurricane Wilma swept across Florida on October 24 , 2005 .	vehicle	1
United States Customhouse ( Oswego , New York ) U.S. Customhouse is a historic customhouse located at Oswego in Oswego County , New York .	customhouse	It will use any tool to stop creation flowing from an individual , no matter what field the creation is in .	tool	0
It is one of the three most common stingray species sold in China .	stingray	It is predatory , feeding on tadpoles , small fish and aquatic insects , and adults are about long .	fish	1
They are released by the Prefect of Lutetia , Surplus Dairyprodus , and learn from a Centurion that Metallurgix may have been kidnapped by sickle traffickers .	sickle	CLR Profiler is an intrusive tool ; seeing a 10 to 100x slowdown in the application being profiled is not unusual .	tool	1
"The man becomes convinced that a raven , who visits the man 's garden , is something of "" a symbol or a manifestation of his sister ."	raven	The book covers details of migratory and resident birds based around the lake , and documents 130 bird species with photographs .	bird	1
"He was co-skipper of the 100 ft trimaran "" MACIF "" in the 2015 Transat Jacques Vabre , together with Francois Gabart ."	trimaran	Same year , the Ecumenical Patriarch of Constantinople Bartholomew I asked , from the Turkish Government , help to protect the building .	building	0
The inshore boat is called and is a lifeboat , whilst the offshore boat is called , and is a Mersey class lifeboat .	lifeboat	Two female passengers in the vehicle experienced non-life-threatening injuries .	vehicle	1
"Two other common names for this species are sunda pied hornbill ( "" convexus "" ) and Malaysian pied hornbill ."	hornbill	However disease in fish is not understood well .	fish	0
She works as the head of dream department wearing a black suit and skirt and carrying a red toolbox and an orange-redess ladybug phone .	ladybug	The standard for fish for human consumption is less than 1 mg/kg , but many tested samples were more than five times that amount .	fish	0
In the film , one scene takes place at the roadhouse , one in George and Martha 's yard , and one in their car .	roadhouse	Six men were seen leaving the vehicle .	vehicle	0
There are more details about Goddess and way to the shrine at :	shrine	Harrington Machine Shop The Harrington Machine Shop is a historic industrial building located in the Franklintown area of Philadelphia .	building	1
"Whilst in command of "" Rattler "" Cumming captured the Brazilian slave brigantine "" Alepide "" on 30 October 1849 ."	brigantine	The engine of this vehicle was two-stage supercharged and was , in 1988 , reportedly in a museum in The Netherlands .	vehicle	1
Currently , the association has two clubhouses : the main clubhouse in Bishan and the city clubhouse in Bugis .	clubhouse	Harrington Machine Shop The Harrington Machine Shop is a historic industrial building located in the Franklintown area of Philadelphia .	building	1
The southern cassowary is distributed in Indonesia , New Guinea and northeastern Australia .	cassowary	Specific defences are specialised responses to particular pathogens recognised by the fish 's body , that is adaptative immune responses .	fish	0
The site soon had its own clubhouse in front of the 1st XV pitch .	clubhouse	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	1
Lipophrys pholis Lipophrys pholis , commonly known as shanny , is a species of combtooth blenny .	shanny	DNA barcoding of grouper species might help in controlling Ciguatera fish poisoning since fish are easily identified , even from meal remnants , with molecular tools .	fish	1
Juvenile greater scaup look similar to adult females .	scaup	Their catch comprises about 60 percent of the total yield of fish in Kashmir .	fish	0
The City converted the showboat museum into a theater shop .	showboat	As part of the campaign , the vehicle also appeared in Gossip Girl , 90210 , America 's Next Top Model , Smallville and Everybody Hates Chris .	vehicle	1
In the following months , Clarke and his two assistants with the help of a hammer and small chisel uncovered further foot bones .	chisel	He was awarded the decoration for the gallantry he showed while saving three other men from a burning vehicle on 22 February 1946 in Kletek in Java .	vehicle	0
"Nachaba flavisparsalis Nachaba flavisparsalis is a species of snout moth in the genus "" Nachaba "" ."	moth	List of birds of Liechtenstein This is a list of the bird species recorded in Liechtenstein .	bird	0
Historic illustrations do show some Asian carpenters hewing building timbers with an adz .	adz	[ Wilmot and Hocker ] , [ J. Downs ] are among many authors who have contributed to the communicative tool of fair fighting .	tool	1
A few routes still use restaurants , but most use a bistro cafe , which also provides half a coach of first-class accommodation .	bistro	Other important aspects of otter tool-use behaviors include the use of tool composites and tool reuse .	tool	0
‘ I 'll take the tarpon soup . ’	tarpon	As a consequence parasites of coral reef fish show tremendous variety .	fish	1
The yellowfin madtom is largely found in Citico Creek of Monroe County , Tennessee , and reintroduced into Abrams Creek in Frederick County , Virginia .	yellowfin	Unlike mammals , the red blood cells of fish have DNA , and can become infected with viruses .	fish	1
The Kidako moray is carnivorous , it leaves its lair at night to actively hunt its preys along the reef .	moray	The body of a fish is divided into a head , trunk and tail , although the divisions between the three are not always externally visible .	fish	1
After drying , they plowed , harrowed , and raked the ground three times , and pulverized it with a mattock , before planting seed .	mattock	As MultiEx Commander was pirated on , and cracks and registration numbers released , it is currently an on-line only tool .	tool	1
Handfeeding or touching large barracuda in general is to be avoided .	barracuda	The dinoflagellates then eat the blood and flakes of tissue while the affected fish die .	fish	1
"The stable 's last "" sekitori "" , Takanonami , retired shortly afterwards ."	stable	Same year , the Ecumenical Patriarch of Constantinople Bartholomew I asked , from the Turkish Government , help to protect the building .	building	1
The trireme hulls were constructed from planks with closely spaced and pegged mortise and tenon joints .	trireme	The building was converted into the YWCA 's offices as well as a preschool .	building	0
It feeds on a variety of plant species , and may develop over two years in higher latitudes , where it may be known as the Northern eggar .	eggar	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	0
"The Yemen serin was formerly placed in the genus "" Serinus "" but phylogenetic analysis using mitochondrial and nuclear DNA sequences found that the genus was polyphyletic ."	serin	However disease in fish is not understood well .	fish	0
After finishing the exterior walls a sacristy by the presbytery and an arcade , they were able to build a cross vault above the nave and two aisles .	presbytery	The two-story building is in a German baroque style and has a limestone base with Pompeiian brick and flat stone arches .	building	1
These species , together with the razorbill , little auk and the extinct great auk make up the tribe Alcini .	razorbill	DNA barcoding of grouper species might help in controlling Ciguatera fish poisoning since fish are easily identified , even from meal remnants , with molecular tools .	fish	0
A jointer can not be used to create a board of even thickness along its length .	jointer	Tangas were a common mode of public transport well into the 1950s , and bicycles were a private vehicle choice in the 1930s .	vehicle	0
There are rock shelters with mostly domestic articles , wooden bowls , material for garments and gear for hunting weka or fishing .	weka	List of birds of Bolivia This is a list of the bird species recorded in Bolivia .	bird	1
"Bergall are generally smaller , so are usually thrown back by anglers who think they caught a "" short "" tautog ."	tautog	Order : PasseriformesFamily : Tichodromidae The wallcreeper is a small bird related to the nuthatch family , which has stunning crimson , grey and black plumage .	bird	0
Ricky Ricotta and his Robot are trying to figure out how to deal with the problem about the minivan , when a space mouse floats down to Earth .	minivan	Discovery Offices , which will be the 5th tallest building in Mumbai and the tallest building outside South Mumbai , is located on LBS Marg .	building	0
However the frog did grow so large that it ate a jetliner mid-flight , implying all passengers , and crew were eaten alive .	jetliner	Originally the building was part of Fosters ' Bank and the name still exists over the doorway .	building	0
The plaintiff , Elizabeth Rutgers , owned a large brewery and alehouse that she was forced to abandon during the British occupation of New York City .	alehouse	"The second version made its debut in 2002 with "" America 's Army "" , a free multiplayer shooter developed by the U.S. Army as a recruitment tool ."	tool	0
On 5 February 2008 he paid a boatman to transport him out to sea in a motorised sampan .	sampan	The listing includes the courthouse and also a sheriff 's residence/jail building to its north , which is a two-story brick building .	building	0
"Another observer put it more briefly : "" Guillermo O’Donnell was the argentine Max Weber . """	argentine	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	0
Fishing for bass and bluegill is popular in the park 's small lake .	bluegill	List of birds of Poland This is a list of the bird species recorded in Poland .	bird	0
He escaped by sawing out a window with a hacksaw blade smuggled into the camp in a loaf of bread .	hacksaw	The main features of JArchitect are : The tool proposes live code query and code rule through LINQ query .	tool	1
A stupa based on the bell shaped stupas at Boropodur , Central Java , is located at Amaravati Buddhist Monastery near Hemel Hempstead in the United Kingdom .	stupa	""" Affinity "" was CUER 's first vehicle , built as a prototype and based on a shape taken from MIT 's "" Manta Elite "" solar car ."	vehicle	0
They have short legs and sit very upright when perched , like a shrike .	shrike	List of birds of Liechtenstein This is a list of the bird species recorded in Liechtenstein .	bird	1
""" By the year 2000 the Queen Elizabeth will be a fleabag ."	fleabag	The church is recorded in the National Heritage List for England as a designated Grade II listed building .	building	1
On September 12 , 2010 , Nelson was stabbed in the head with an icepick in a possible road rage incident .	icepick	Honda was the largest hybrid vehicle seller in Malaysia in 2011 and by 2012 Malaysia was Honda 's largest hybrid vehicle market in Southeast Asia .	vehicle	0
The venue is also home to a family of peafowl donated to the University by the Perth Zoo in 1975 after a gift by Sir Laurence Brodie-Hall .	peafowl	Unlike most other fish species which are chilled or frozen , groupers are usually sold live in markets .	fish	0
Records include broad-bodied chaser and the large red damselfly .	damselfly	We must solve problems of waste disposal , insect and rodent control , air pollution , housing , radiological poisoning and many others .	insect	1
"He also sought to bring greater public exposure to the School Board , initiating "" gavel to gavel "" television coverage of School Board meetings ."	gavel	It is an established tool for non-contact determination of material and electronic properties of semiconductor films .	tool	1
The northern fulmar has a wingspan of and is in length .	fulmar	The Cat falls down , and the bowl floods the entire convention , and everyone ( except the Cat and Clark ) end up inside the fish .	fish	0
Kayo starts her own cafe , and Renko and Daigo become advocates for oppressed women .	cafe	The building is adjacent to the Gateway Arch .	building	1
"It is commonly referred to as the mako shark , as is the longfin mako shark ( "" Isurus paucus "" ) ."	mako	Instead , these otters target soft-bodied prey like fish , or urchins which can be ripped apart with the forelimbs .	fish	1
Mother tongue ( 2011 ) Inventor of the snowmobile , Joseph-Armand Bombardier , born in Valcourt .	snowmobile	Driving a motor vehicle while intoxicated on alcohol is a misdemeanor which carries a penalty of up to one year in the county jail .	vehicle	1
Alternate names for the yellow-eared bulbul include the Ceylon bulbul , Sri Lanka bulbul and yellow-tufted bulbul .	bulbul	"Silkworm , the larvae stage of "" Bombyx mori , "" is an economically important insect in sericulture ."	insect	0
Following this operation Air India , the flag carrier Indian airline entered the Guinness Book of World Records for the most people evacuated by a civil airliner .	airliner	By April , Warner Bros bought the film rights as a vehicle for Barbara Stanwyck .	vehicle	1
The construction of the boneshaker was similar to the dandy horse : wooden wheels with iron tires and a framework of wrought iron .	boneshaker	The weapon is primarily designed to engage targets in shallow water , especially midget submarines , swimmer delivery vehicle , human torpedo and other special operation uses .	vehicle	1
The Indian pitta was described and illustrated by the French zoologist Mathurin Jacques Brisson in 1760 and the English naturalist George Edwards in 1764 .	pitta	The Liverpool Cityscape comprises 170 hectares of the city , a near bird ’s - eye perspective .	bird	1
On 23 March , Turkish Air Force F-16 jet fighters shot down a Syrian warplane that allegedly bombed rebels fighting around the border post .	warplane	This building is a Rijksmonument .	building	0
He began his career with unicycle , juggling and magic acts in high school .	unicycle	Less commonly , power steering fluid , brake fluid , and other hydraulic fluids may be cooled by an auxiliary radiator on a vehicle .	vehicle	1
Hydrolycus armatus Hydrolycus armatus is a species of dogtooth characin found in freshwater of tropical South America .	characin	Fish can limit the impacts of pathogens and parasites with behavioural or biochemical means , and such fish have reproductive advantages .	fish	1
The kayak outfitting is the most common .	kayak	Construction started in 1899 , and the last vehicle entered service in 1917 .	vehicle	1
Mother tongue ( 2011 ) Inventor of the snowmobile , Joseph-Armand Bombardier , born in Valcourt .	snowmobile	Another shot shows Khan standing outside a building which is seen to be under construction .	building	0
This amazing piece of ʻiʻiwi and ʻōʻō feathers ( with some mamo ) is extremely delicate .	mamo	There are no talking fish or insects .	fish	0
She bears the mark of Oomara on her forearm , which grants her many abilities , one of which being the ability to transform into a raven .	raven	Here he was employed at the Zoological Museum of the University of Copenhagen and headed its bird ringing centre 1943-1960 .	bird	1
"The following morning , "" Hawk "" intercepted a sampan with five Indonesians on board who were promptly arrested ."	sampan	When the trials were held only one vehicle attended , the Hornsby Heavy Oil Tractor .	vehicle	1
A separate charity school and a charity dispensary are also part of the campus .	dispensary	"Each vehicle came with extra "" secret message "" lenticular inserts for use with the characters ' Secret Shields ."	vehicle	0
Suddenly , Raven and the Sibunas learn that Mr. Radu 's the man with the raven mask and that Magnus puts him under a blanket .	raven	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
Southwell Minster Southwell Minster ( ) is a minster and cathedral , in Southwell , Nottinghamshire , England .	minster	This should form a triangular relationship : the human with the building , the building with the site , and the human with the site .	building	1
"Fimbriate gudgeon The fimbriate gudgeon ( "" Oxyeleotris fimbriata "" ) is a species of sleeper goby native to the fresh waters of New Guinea and Australia ."	goby	The kibbutz sells over 1,000 tons of edible fish per year .	fish	1
""" Milbrook "" anchored close to the lugger and came under fire from some field guns on shore ."	lugger	The building is now a multi-dwelling structure .	building	0
He conducted research on greylag geese and their migration .	greylag	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	1
Sheep and cattle farming are also prolific with the largest beef feedlot in the state , situated in Yeungroon just south of the town .	feedlot	They used fluid dynamic simulations to model the interaction of a vehicle ( like that proposed by Alcubierre ) with the zero-point field .	vehicle	0
During the pupal stage , the borers progress through metamorphosis in a suspended chrysalis .	chrysalis	As the insect grows , the hemolymph works something like a hydraulic system , enabling the insect to expand segments before they are sclerotized .	insect	1
In 1538 during the Reformation Henry VIII closed the priory and the hospital .	priory	"Three months later , the second vehicle , named "" Resolution "" , was also completed ; it was promptly sold to the United States Navy ."	vehicle	0
Nacaduba angusta Nacaduba angusta , the white lineblue , is a species of lycaenid butterfly found in South Asia .	lycaenid	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
Artedius lateralis Artedius lateralis , also known as the smoothhead sculpin or round-nosed sculpin , is a species of sculpin in the family Cottidae .	sculpin	The mouthparts of different insect groups consist of a set of homologous organs , specialised for the dietary intake of that insect group .	insect	0
Viewers may also spot a barracuda , sea turtle or reef squid .	barracuda	The capture , transportation and culture of bait fish can spread damaging organisms between ecosystems , endangering them .	fish	1
Bunter , meanwhile , is hiding in the woodshed , where he is busily consuming his plunder .	woodshed	By April , Warner Bros bought the film rights as a vehicle for Barbara Stanwyck .	vehicle	0
However , the Glenn Henry Orchestra made its debut east of the Mississippi in a moonlight performance aboard the S.S. Bear Mountain showboat on June 13 , 1949 .	showboat	At 8:30 AM with the highway slippery and visibility reduced due to thick fog , their vehicle collided with another car near Mt. Pleasant , Michigan .	vehicle	1
It is one of only two breeding sites for the Chatham fulmar prion .	fulmar	"Tarnished plant bug The tarnished plant bug ( TPB ) , "" Lygus lineolaris "" , is a species of plant-feeding insect in the family Miridae ."	insect	0
To move around on the water the ranger had an inflatable dinghy with an outboard motor .	dinghy	"A 2010 "" Linux Magazine "" review called Geeqie an "" indispensable tool "" , "" lightning fast "" ."	tool	0
XPCC Police UAV is a fixed wing aircraft in conventional layout with high wing configuration and tricycle landing gear .	tricycle	The office building is of yellow and red brick , with sandstone trim .	building	0
The marble is quarried in the Cardamom Mountains in Veal Veang district and often transported to Kandieng via oxcart .	oxcart	Mulford Building Mulford Building is a historic light manufacturing loft building located in the Spring Garden neighborhood of Philadelphia , Pennsylvania .	building	0
E Pluribus Neo in turn contacted Zion , who immediately dispatched four hovercraft as reinforcements while interloping Merovingian operatives entered the battle in search of profit .	hovercraft	The building employs a classical style of architecture reflecting Greek and Roman influences .	building	0
The most common are little auk , northern fulmar , thick-billed murre and black-legged kittiwake .	kittiwake	A rare insect ; probably a swamp species which escapes observation .	insect	0
He convinces the manager of a Baghdad morgue to let him work as a forensic scientist .	morgue	In August 1930 , APD got its first police vehicle : a used Ford for $ 63.75 .	vehicle	0
However , when he tries it on himself , a housefly slips into the booth with him .	housefly	The forest is also accessible to visitors for bird watching .	bird	0
Once the eggs hatch , the botfly larvae penetrate the skin and lodge in the woodrat ’s neck , chest , and abdomen until pupation .	botfly	They feed on small algae and serve as prey for larger organisms in the plankton such as copepods and larval fish .	fish	0
These include the adder , crane , nightjar , woodlark , snipe , shrike and stonechat .	stonechat	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
The southern cassowary is occasionally spotted in the southern section of the park .	cassowary	Both groups are medium to large coastal seabirds that plunge-dive for fish .	fish	0
High speed four engined transports made the former wooden glider unsafe .	glider	As part of the campaign , the vehicle also appeared in Gossip Girl , 90210 , America 's Next Top Model , Smallville and Everybody Hates Chris .	vehicle	1
While the use of a horse and sulky from mid-1912 made travelling to callouts easier , patients were still transported by litter into Gympie .	sulky	The folly , wall and house are designated as a Grade II listed building by English Heritage .	building	0
Female conger eels appear to increase in weight and size more than the males .	conger	In the spring and fall , when the fish are spawning , the Calkins Bridge Dam is a favorite spot for fishermen .	fish	1
Thus the panzer regiments continued to be equipped with Panzer IV and Panther medium tanks for offensive operations .	panzer	Residing along İstiklal Avenue is the Çiçek Pasajı , originally built by Greek philanthropist Christakis Zografos as apartment building and shopping center known as Cité de Pera .	building	0
In aquaria the wrymouth has been known to utilize a rubber tube as a ready-made burrow .	wrymouth	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
Mr. Leonard Wray chaired the opening ceremony , and the first patient who used the X-Ray was a pomfret .	pomfret	Avifauna is extensive , with around 300 bird species been recorded since the 19th century .	bird	0
"of stemborers — including those in the genera "" Scirpophaga "" and "" Chilo "" , the rice gall midge , several spp ."	midge	One indigenous material used throughout Mesoamerica was the extraction of a greasy substance from the larvae of the coccus axin or llaveia axin insect .	insect	1
In the late 1990s , Gore strongly pushed for the passage of the Kyoto Protocol , which called for reduction in greenhouse gas emissions .	greenhouse	With a total sales of 250,790 for the year of 2002 , it became the best-selling vehicle in Japan , which is a first for a Honda model .	vehicle	0
Caff ( disambiguation ) A caff is a small , cheap British eatery or British cafe It may also refer to :	caff	The prime contractor was Rockwell International , which built a SVN 12 qualification vehicle after an amendment to the Block I contract .	vehicle	0
Paracyrtophyllus robustus Paracyrtophyllus robustus , known generally as the truncated true katydid or central Texas leaf katydid , is a species of true katydid in the family Tettigoniidae .	katydid	It is suggested that the two classes of insect nitrophorins have arisen as a product of the convergent evolution .	insect	1
Alternate common names include Fiji lory , ruffled lory , and solitary lory .	lory	Prevention includes feeding with cooked fish ( not raw fish ) .	fish	0
"Defending the naval base was "" Rauma "" and the minelayer HNoMS "" Olav Tryggvason "" ."	minelayer	In the early 1980s , it had both a vehicle assembly plant and an engine plant in Struandale , together with an older assembly plant in Neave .	vehicle	1
Combining this method with new steel alloys and advanced tempering techniques allowed Perin to create the first modern bandsaw blade .	bandsaw	Like most models , the OODA Loop is not a technical description , but rather is a tool for illustrating important points for strategists .	tool	1
At Court Street , the casket was transferred to a hearse and taken to a private funeral at Fort Hamilton .	hearse	The latest version of KStars is 3.0.0 which included imporvements to the FITS Viewer tool and overhaul of the Ekos Scheduler .	tool	0
It has a shedroof ell extending to the right , and a rear sloping section that gives the house a classic saltbox profile .	saltbox	Later on , due to an aging building , a new school building was constructed in Mount Zion , West Virginia .	building	1
Manila had its Manila galleon wherein products from the Philippine islands and China were traded with Spanish America and Europe from 1571 to 1815 .	galleon	There were 33 starters in the event , with the field divided into four classes according to the retail price of each vehicle .	vehicle	1
Bird species include the pied wagtail and the greater spotted woodpecker .	wagtail	The refurbishment programme included GB1 ; a fish restaurant which opened on 6 February 2013 , deluxe sea facing bedrooms and The Spa at The Grand .	fish	0
The Canterbury Hebrew Congregation obtained funds in 1863 to build a small wooden synagogue on a block of land between Worcester and Gloucester Streets in Christchurch .	synagogue	With a total sales of 250,790 for the year of 2002 , it became the best-selling vehicle in Japan , which is a first for a Honda model .	vehicle	0
An average of 35 % of an opah 's weight is consumable , with the remaining 65 % being bone and thick skin .	opah	Boats can be hired from 8.30 am and the most common species of fish are trout .	fish	1
He then stabbed the officer with a penknife , and ran away .	penknife	Ridge Avenue Farmers ' Market Ridge Avenue Farmers ' Market was a historic farmers ' market building located in the Francisville neighborhood of Philadelphia , Pennsylvania .	building	0
It will benefit from live food like daphnia and mosquito larvae as well as frozen fish food including frozen bloodworms .	mosquito	Here he was employed at the Zoological Museum of the University of Copenhagen and headed its bird ringing centre 1943-1960 .	bird	0
By far , the most popular seafood sold here and in the rest of Mexico is shrimp , followed weakly by mojarra .	mojarra	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
Blood hides out at Shiba 's whorehouse , and where Thomas , Jr. is looked after , while Shiba obtains information on the Barrett family .	whorehouse	"The production vehicle was called the Datson Type 10 , and "" approximately ten "" of these cars were sold in 1931 ."	vehicle	0
A stagecoach road existed into the 19th century that passed through the mountains east of San Diego .	stagecoach	Several Services Québec offices are located in the same building as service centres for the Société de l’assurance automobile du Québec .	building	0
""" Lehua mamo "" , however , is only found in the Koolau mountains ."	mamo	"She wrote : "" It is getting impossible to live like an insect in solitary confinement ."	insect	0
The aardvark and the ant eater use long tongues to prey upon termite and ant nests .	termite	The consumption of imported meat , particularly mutton flaps , has replaced the islanders ' traditional diet of fish , root vegetables and coconuts .	fish	0
"Topote Topotes are a local dish of Catemaco , Veracruz , Mexico made from threadfin shad "" ( Dorosoma petenense ) . """	threadfin	Prevention includes feeding with cooked fish ( not raw fish ) .	fish	1
"Species of "" Paramoebidium "" are obligate symbionts of immature freshwater-dwelling arthropod hosts such as mayfly and stonefly nymphs and black fly larvae ."	stonefly	List of birds of Ireland This is a list of the bird species recorded in Ireland .	bird	0
"In the context of sushi , yellowtail usually refers to the Japanese amberjack , "" Seriola quinqueradiata "" ."	amberjack	This fish is specialized to feed on the scales of other fishes .	fish	1
The Asian houbara or MacQueen 's bustard which was earlier included in this species occurs east of the Sinai Peninsula .	bustard	He made a collection of some 500 bird specimens .	bird	1
The resistance was helped greatly by the leadership of the Chancela family who were dedicated to defending the ziggurat and recovering the artifact .	ziggurat	All grades are in the same building .	building	1
